LTKBID,compound_name,SeverityClass,LabelSection,vDILI-Concern,vDILI_Concern_Normalized,Comment,smiles,binary_label
LT01042,Acitretin,5,Box warning,vMost-DILI-concern,vMost-DILI-concern,Unchanged,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,1
LT00041,Acyclovir,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,1
LT01155,Adefovir dipivoxil,2,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,1
LT01047,Adenosine,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0
LT02213,Alaproclate,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,1
LT00461,Alatrofloxacin mesylate,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(N)C(=O)NC(C)C(=O)NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21.CS(=O)(=O)O,1
LT00499,Albendazole,7,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1
LT01051,Albuterol,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
LT00692,Alclofenac,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,C=CCOc1ccc(CC(=O)O)cc1Cl,1
LT00980,Alendronate sodium,0,No match,vLess-DILI-concern,vLess-DILI-concern,Unchanged,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.O.O.O.[Na+],1
LT00925,Alfentanil hydrochloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1.Cl,0
LT01107,Alfuzosin hydrochloride,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl,1
LT01244,Aliskiren hemifumarate,0,No match,vLess-DILI-concern,vLess-DILI-concern,Unchanged,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.O=C(O)C=CC(=O)O,1
LT00043,Allopurinol,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,O=c1[nH]cnc2[nH]ncc12,1
LT01053,Almotriptan malate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O,0
LT01070,Alosetron hydrochloride,4,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O.Cl,1
LT03621,Alpelisib,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,New,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,1
LT01060,Alpidem,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,1
LT00501,Alprazolam,7,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1
LT01215,Alvimopan,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC1CN(CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,0
LT01629,Ambenonium chloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-],0
LT03376,Amifampridine,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,Nc1ccncc1N,0
LT01067,Amifostine,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,NCCCNCCSP(=O)(O)O,0
LT01068,Amikacin sulfate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O.O=S(=O)(O)O.O=S(=O)(O)O,0
LT02070,Amiloride hydrochloride,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,Cl.NC(N)=NC(=O)c1nc(Cl)c(N)nc1N.O.O,1
LT00045,Amineptine,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,1
LT01071,Aminocaproic acid,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,NCCCCCC(=O)O,0
LT00054,Aminohippurate sodium,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+],0
LT00711,Aminophylline,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,0
LT00505,Aminosalicylic acid ,5,Warnings & precautions,vMOST-DILI-concern,vMost-DILI-concern,Unchanged,Nc1ccc(C(=O)O)c(O)c1,1
LT00046,Amiodarone hydrochloride,8,Box warning,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,1
LT01793,Amisulpride,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,New,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1
LT00047,Amitriptyline hydrochloride,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,1
LT00175,Amlodipine besylate,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,1
LT02067,Ammonium chloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,[Cl-].[NH4+],0
LT00507,Amoxicillin,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,1
LT02100,Amphetamine sulfate,0,No match,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(N)Cc1ccccc1.CC(N)Cc1ccccc1.O=S(=O)(O)O,1
LT00048,Amphotericin B,3,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1
LT00049,Ampicillin sodium,3,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],1
LT00263,Anastrozole,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,1
LT02229,Angiotensin ii acetate,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CC(=O)O.CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,0
LT01203,Anidulafungin,7,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Revised,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,1
LT03622,Apalutamide,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,0
LT02418,Apixaban,4,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,New,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,1
LT00693,Aplaviroc,8,Discontinued,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCCCN1C(=O)C(C(O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2,1
LT02217,Apomorphine hydrochloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3.CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3.Cl.Cl.O,0
LT03623,Apremilast,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,0
LT01030,Argatroban,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,0
LT02077,Arginine hydrochloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Cl.NC(N)=NCCCC(N)C(=O)O,0
LT02331,Argipressin,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0
LT01143,Aripiprazole,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Revised,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1
LT03624,Aripiprazole lauroxil,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,New,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,1
LT00053,Aspirin,0,No match,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(=O)Oc1ccccc1C(=O)O,1
LT01199,Atazanavir sulfate,3,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O,1
LT00277,Atenolol,4,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1
LT01139,Atomoxetine hydrochloride,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CNCCC(Oc1ccccc1C)c1ccccc1.Cl,1
LT00258,Atorvastatin calcium,5,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-].[Ca+2],1
LT00917,Atracurium,0,No match,vNo-DILI-Concern,vNo-DILI-concern,Unchanged,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,0
LT00511,Atropine,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0
LT02166,Auranofin,3,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(=O)OCC1OC([S-])C(OC(C)=O)C(OC(C)=O)C1OC(C)=O.CCP(CC)CC.[Au+],1
LT02440,Avanafil,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,COc1ccc(CNc2nc(N3CCCC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0
LT03629,Avatrombopag maleate,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1.O=C(O)C=CC(=O)O,0
LT00006,Azathioprine,5,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,1
LT03630,Azilsartan kamedoxomil,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[n-]2)cc1.[K+],0
LT00265,Azithromycin,7,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1
LT02059,Bacitracin,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3cnc[nH]3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,0
LT01113,Baclofen,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,NCC(CC(=O)O)c1ccc(Cl)cc1,1
LT03631,Baloxavir marboxil,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,COC(=O)OCOc1c2n(ccc1=O)N(C1c3ccccc3SCc3c1ccc(F)c3F)C1COCCN1C2=O,0
LT01116,Benazepril hydrochloride,4,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O.Cl,1
LT00659,Bendamustine hydrochloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,0
LT01117,Bendazac,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,1
LT00825,Bendroflumethiazide,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,1
LT00513,Benoxaprofen,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,1
LT01120,Benzarone,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,1
LT00278,Benzbromarone,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1
LT01121,Benziodarone,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,1
LT00800,Benzonatate,0,No match,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,1
LT00832,Benzphetamine hydrochloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(Cc1ccccc1)N(C)Cc1ccccc1.Cl,0
LT01123,Benztropine mesylate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,0
LT02189,Betaine,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,C[N+](C)(C)CC(=O)[O-],0
LT00730,Bethanechol chloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],0
LT03798,Betrixaban,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,0
LT01064,Bexarotene,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,1
LT00056,Bicalutamide,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1
LT00817,Biperiden hydrochloride,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
LT02190,Bisacodyl,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0
LT01027,Bivalirudin,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)O,0
LT01202,Bortezomib,7,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1
LT01140,Bosentan,7,Box warning,vMost-DILI-concern,vMost-DILI-concern,Unchanged,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,1
LT02349,Bosutinib monohydrate,4,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,New,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl.O,1
LT03639,Brexanolone,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,0
LT03640,Brexpiprazole,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,0
LT03868,Brilliant blue g,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CCOc1ccc(Nc2ccc(C(=C3C=CC(=[N+](CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1.[Na+],0
LT03643,Brivaracetam,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CCCC1CC(=O)N(C(CC)C(N)=O)C1,0
LT00519,Bromfenac sodium,8,Withdrawn,vMost-DILI-concern,vMost-DILI-concern,Unchanged,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],1
LT00279,Bromocriptine mesylate,3,Warnings & precautions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,1
LT02076,Brompheniramine maleate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)C=CC(=O)O,0
LT01144,Budesonide,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,0
LT00058,Bupropion hydrochloride,5,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,1
LT00280,Busulfan,8,Warnings & precautions,vMost-DILI-concern,vMost-DILI-concern,Unchanged,CS(=O)(=O)OCCCCOS(C)(=O)=O,1
LT01151,Butorphanol tartrate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,O=C(O)C(O)C(O)C(=O)O.Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CCC1)CC3,0
LT01152,Cabergoline,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,0
LT01888,Caffeine citrate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O,0
LT00878,Calcitonin salmon,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(C)CC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CSSCC(N)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1)C(C)C)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(=O)N1CCCC1C(N)=O)C(C)O)C(C)O)C(C)O)C(C)O,0
LT00899,Calcitriol,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,0
LT00947,Calcium acetate,0,No match,vNo-DILI-concern,vNo-DILI-concern,Unchanged,CC(=O)[O-].CC(=O)[O-].[Ca+2],0
LT02899,Canagliflozin,0,No match,vLess-DILI-concern,vLess-DILI-concern,New,Cc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,1
LT01022,Candesartan cilexetil,3,Adverse reactions,vLess-DILI-concern,vLess-DILI-concern,Unchanged,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1
LT02516,Cangrelor,0,No match,vNo-DILI-concern,vNo-DILI-concern,New,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)C(O)C1O,0
